PlanetIdentifier,PlanetaryMassJpt,RadiusJpt,SurfaceTempK
Kepler-260 b,,0.18317,
Kepler-270 b,,0.18317,
Kepler-280 c,,0.18317,
Kepler-81 c,,0.18317,
Kepler-868 b,,0.183,
Kepler-242 c,,0.18226,
Kepler-261 c,,0.18226,
Kepler-236 c,,0.18226,
Kepler-134 b,,0.18226,
Kepler-179 c,,0.18226,
Kepler-223 c,,0.18226,
Kepler-1122 b,,0.182,
Kepler-845 b,,0.182,
Kepler-136 c,,0.18135,
Kepler-243 c,,0.18135,
Kepler-181 c,,0.18135,
Kepler-341 e,,0.18135,
Kepler-142 b,,0.18135,
Kepler-98 b,0.011167,0.181349,
Kepler-37 d,,0.181349,
Kepler-761 b,,0.181,
Kepler-1268 b,,0.181,
Kepler-1461 b,,0.181,
Kepler-1155 b,,0.181,
Kepler-267 b,,0.18044,
Kepler-273 c,,0.18044,
Kepler-59 c,0.012848,0.180438,
Kepler-834 b,,0.18,
Kepler-833 b,,0.18,
EPIC 211913977 b,,0.18,
Kepler-1626 b,,0.18,
Kepler-1422 b,,0.18,
EPIC 201754305 b,,0.18,
Kepler-347 b,,0.17953,
Kepler-224 e,,0.17953,
Kepler-184 c,,0.17953,
Kepler-1105 b,,0.179,
Kepler-903 b,,0.179,
Kepler-1404 b,,0.179,
Kepler-754 b,,0.179,
Kepler-18 b,0.0217,0.179,1181.7
Kepler-349 c,,0.17862,
Kepler-174 b,,0.17862,
Kepler-342 c,,0.17862,
Kepler-298 b,,0.17862,
Kepler-118 b,,0.17862,
Kepler-1111 b,,0.178,
Kepler-579 b,,0.178,
Kepler-968 b,,0.178,
Kepler-872 b,,0.178,
Kepler-1144 b,,0.178,
Kepler-801 b,,0.178,
Kepler-1017 b,,0.178,
Kepler-526 b,,0.178,
Kepler-578 b,,0.178,
Kepler-625 b,,0.178,
Kepler-529 c,,0.178,
Kepler-1217 b,,0.178,
Kepler-296 c,,0.178,
Kepler-646 b,,0.178,
Kepler-1180 b,,0.178,
Kepler-1457 b,,0.178,
Kepler-62 d,,0.177704,510
Kepler-52 d,,0.1777,
Kepler-330 c,,0.1777,
Kepler-996 b,,0.177,
Kepler-1061 b,,0.177,
Kepler-1025 b,,0.177,
Kepler-1336 b,,0.177,
Kepler-83 d,,0.17679,
Kepler-962 b,,0.176,
Kepler-683 b,,0.176,
Kepler-1133 b,,0.176,
Kepler-231 c,,0.17588,
Kepler-298 c,,0.17588,
Kepler-329 c,,0.17588,
Kepler-1093 c,,0.175,
Kepler-737 b,,0.175,
Kepler-1460 b,,0.175,
Kepler-1127 b,,0.175,
Kepler-1392 b,,0.175,
Kepler-1556 b,,0.175,
Kepler-792 b,,0.175,
Kepler-973 b,,0.175,
Kepler-523 b,,0.175,
55 Cnc e,0.0254,0.1746,
Kepler-370 c,,0.17406,
Kepler-1093 b,,0.174,
EPIC 201629650 b,,0.174,511
Kepler-653 b,,0.174,
Kepler-196 b,,0.17315,
Kepler-349 b,,0.17315,
Kepler-158 c,,0.17315,
Kepler-804 b,,0.173,
Kepler-1348 b,,0.173,
Kepler-1384 b,,0.173,
Kepler-171 d,,0.17224,
Kepler-371 b,,0.17224,
Kepler-399 d,,0.17224,
Kepler-1343 b,,0.172,
Kepler-1238 b,,0.172,
Kepler-946 b,,0.172,
Kepler-878 b,,0.172,
Kepler-1232 b,,0.172,
Kepler-810 b,,0.172,
Kepler-291 c,,0.17132,
Kepler-137 c,,0.17132,
EPIC 206011691 c,,0.171,
Kepler-1119 b,,0.171,
KOI-3681.02,,0.171,
Kepler-1250 b,,0.171,
Kepler-299 e,,0.17041,
Kepler-1306 b,,0.17,
Kepler-753 b,,0.17,
EPIC 201338508 b,,0.17,
Kepler-1283 b,,0.17,
EPIC 211969807 b,,0.17,
Kepler-1596 b,,0.17,
Kepler-601 b,,0.17,
Kepler-1078 b,,0.17,
Kepler-1177 b,,0.17,
Kepler-524 b,,0.17,
Kepler-20 b,0.027,0.17,1092.1
Kepler-1121 b,,0.17,
Kepler-917 b,,0.17,
Kepler-1472 b,,0.17,
Kepler-265 b,,0.1695,
Kepler-299 d,,0.1695,
Kepler-191 c,,0.1695,
Kepler-1534 b,,0.169,
Kepler-634 b,,0.169,
Kepler-217 c,,0.16859,
Kepler-350 b,,0.16859,
Kepler-341 d,,0.16859,
Kepler-202 c,,0.16859,
Kepler-1644 b,,0.168,
Kepler-1382 b,,0.168,
Kepler-1305 b,,0.168,
Kepler-710 b,,0.168,
KOI-1781 b,,0.168,
Kepler-1454 b,,0.168,
Kepler-1221 b,,0.168,
Kepler-225 c,,0.16768,
Kepler-331 c,,0.16768,
Kepler-85 b,,0.16768,
Kepler-357 b,,0.16768,
Kepler-354 b,,0.16768,
Kepler-274 c,,0.16768,
Kepler-1032 b,,0.167,
Kepler-1638 b,,0.167,
Kepler-824 b,,0.167,
Kepler-1280 b,,0.167,
Kepler-110 b,,0.16677,
Kepler-440 b,,0.166,
Kepler-529 b,,0.166,
Kepler-1488 b,,0.166,
Kepler-1463 b,,0.166,
Kepler-331 b,,0.16586,
Kepler-283 c,,0.16586,
Kepler-113 b,0.036805,0.165857,
EPIC 201367065 c,,0.165,
Kepler-1509 b,,0.165,
Kepler-1135 b,,0.165,
Kepler-641 b,,0.165,
Kepler-948 b,,0.165,
Kepler-356 c,,0.16495,
Kepler-107 c,,0.16495,
Kepler-135 b,,0.16495,
Kepler-11 b,0.005977,0.164035,870.7
Kepler-140 c,,0.16403,
Kepler-148 b,,0.16403,
Kepler-1370 b,,0.164,
EPIC 201617985 b,,0.164,518
Kepler-1251 b,,0.164,
Kepler-1344 b,,0.164,
Kepler-825 c,,0.164,
Kepler-887 b,,0.164,
Kepler-1125 b,,0.164,
Kepler-366 c,,0.16312,
Kepler-204 c,,0.16312,
Kepler-272 c,,0.16312,
Kepler-376 c,,0.16312,
WASP-47 e,0.0384,0.1631,
Kepler-638 b,,0.163,
Kepler-1479 b,,0.163,
Kepler-1089 b,,0.163,
Kepler-371 c,,0.16221,
Kepler-772 b,,0.162,
Kepler-1225 b,,0.162,
Kepler-1262 b,,0.162,
Kepler-1413 b,,0.162,
Kepler-1292 b,,0.162,
Kepler-771 b,,0.162,
Kepler-294 b,,0.1613,
Kepler-286 e,,0.1613,
Kepler-321 b,,0.1613,
Kepler-270 c,,0.1613,
Kepler-82 d,,0.1613,
Kepler-206 c,,0.1613,
Kepler-215 c,,0.1613,
Kepler-296 f,,0.161,
Kepler-1353 b,,0.161,
Kepler-1327 b,,0.161,
Kepler-133 b,,0.16039,
Kepler-768 b,,0.16,
Kepler-1585 b,,0.16,
Kepler-769 c,,0.16,
Kepler-54 c,,0.15948,
Kepler-403 c,,0.15948,
Kepler-301 d,,0.15948,
Kepler-347 c,,0.15948,
Kepler-124 c,,0.15948,
Kepler-215 e,,0.15948,
Kepler-881 b,,0.159,
Kepler-1410 b,,0.159,
Kepler-1645 b,,0.159,
Kepler-883 b,,0.159,
Kepler-1544 b,,0.159,
Kepler-850 b,,0.159,
Kepler-1003 b,,0.159,
Kepler-260 c,,0.15857,
Kepler-80 d,,0.15857,
Kepler-33 b,,0.158566,1349.8
Kepler-904 b,,0.158,
Kepler-1189 b,,0.158,
Kepler-1389 b,,0.158,
Kepler-1260 b,,0.158,
Kepler-822 b,,0.158,
Kepler-1489 b,,0.158,
Kepler-1465 b,,0.158,
Kepler-327 d,,0.15766,
Kepler-238 b,,0.15766,
Kepler-231 b,,0.15766,
Kepler-1313 b,,0.157,
Kepler-916 b,,0.157,
Kepler-755 b,,0.157,
Kepler-888 b,,0.157,
Kepler-1062 b,,0.157,
Kepler-404 c,,0.15674,
Kepler-317 c,,0.15674,
Kepler-245 e,,0.156,
Kepler-430 c,,0.156,
Kepler-122 f,,0.156,
Kepler-939 b,,0.156,
Kepler-1100 b,,0.156,
Kepler-1279 b,,0.156,
Kepler-1243 b,,0.156,
Kepler-1516 b,,0.156,
Kepler-69 c,,0.1558328,299
Kepler-89 b,0.0330298,0.1558328,1486
Kepler-50 b,0.015963,0.155832,
Kepler-52 c,,0.15583,
Kepler-401 b,,0.15583,
Kepler-221 b,,0.15583,
Kepler-918 b,,0.155,
Kepler-615 b,,0.155,
Kepler-1375 b,,0.155,
Kepler-311 b,,0.15492,
Kepler-341 c,,0.15492,
Kepler-23 b,,0.15401,
Kepler-372 d,,0.15401,
Kepler-269 c,,0.15401,
Kepler-363 c,,0.15401,
Kepler-223 b,,0.15401,
Kepler-166 d,,0.154,
Kepler-1070 b,,0.154,
Kepler-1468 b,,0.154,
Kepler-1350 c,,0.154,
Kepler-1126 b,,0.154,
Kepler-1522 b,,0.154,
Kepler-1153 b,,0.154,
Kepler-1478 b,,0.154,
Kepler-1059 b,,0.154,
Kepler-1608 b,,0.154,
Kepler-188 b,,0.1531,
Kepler-1450 b,,0.153,
Kepler-1046 b,,0.153,
KOI-341 b,,0.153,
Kepler-1397 b,,0.153,
Kepler-927 b,,0.153,
Kepler-514 b,,0.153,
Kepler-1336 c,,0.153,
Kepler-1167 b,,0.153,
Kepler-560 b,,0.153,
Kepler-1002 b,,0.153,
Kepler-24 d,,0.15219,
Kepler-300 b,,0.15219,
Kepler-288 b,,0.15219,
Kepler-322 c,,0.15219,
Kepler-1320 b,,0.152,
Kepler-848 b,,0.152,
Kepler-830 b,,0.152,
Kepler-1138 b,,0.152,
Kepler-1210 b,,0.152,
Kepler-1115 b,,0.152,
Kepler-379 b,,0.15128,
Kepler-394 c,,0.15128,
Kepler-968 c,,0.151,
Kepler-1166 b,,0.151,
Kepler-1148 b,,0.151,
Kepler-619 c,,0.151,
Kepler-758 c,,0.151,
Kepler-853 b,,0.151,
Kepler-674 b,,0.151,
K2-35 c,,0.151,
Kepler-400 b,,0.15036,
Kepler-360 b,,0.15036,
Kepler-795 b,,0.15,
Kepler-851 b,,0.15,
CoRoT-7 b,0.0151,0.15,1666.1
Kepler-1511 b,,0.15,
Kepler-1391 b,,0.15,
Kepler-778 b,,0.15,
Kepler-844 b,,0.15,
KOI-1860.03,,0.15,
Kepler-1569 b,,0.15,
Kepler-1449 b,,0.15,
Kepler-1401 b,,0.15,
Kepler-130 d,,0.14945,
Kepler-247 b,,0.14945,
Kepler-331 d,,0.14945,
Kepler-46 d,,0.14945,793
Kepler-205 c,,0.14945,
Kepler-262 c,,0.14945,
Kepler-80 e,,0.14945,
Kepler-179 b,,0.14945,
Kepler-365 c,,0.14945,
Kepler-1476 b,,0.149,
Kepler-1480 b,,0.149,
Kepler-1252 b,,0.149,
Kepler-1123 b,,0.149,
Kepler-1143 b,,0.149,
Kepler-452 b,,0.148542,265
Kepler-208 b,,0.14854,
Kepler-323 c,,0.14854,
Kepler-319 b,,0.14854,
Kepler-253 b,,0.14854,
KOI-1576.03,,0.14854,640
Kepler-202 b,,0.14854,
Kepler-1418 b,,0.148,
Kepler-1464 b,,0.148,
Kepler-1497 b,,0.148,
Kepler-1291 b,,0.148,
Kepler-520 b,,0.148,
Kepler-1342 b,,0.148,
Kepler-213 b,,0.14763,
Kepler-215 b,,0.14763,
Kepler-9 d,0.022,0.147,1601.5
Kepler-1368 b,,0.147,
Kepler-611 b,,0.147,
Kepler-1330 b,,0.147,
Kepler-1530 c,,0.147,
Kepler-1106 b,,0.147,
Kepler-149 c,,0.14672,
Kepler-140 b,,0.14672,
Kepler-100 d,,0.14672,
Kepler-105 c,0.014483,0.14672,
Kepler-62 e,,0.14671977,270
Kepler-1073 c,,0.146,
Kepler-508 b,,0.146,
Kepler-1530 b,,0.146,
Kepler-1136 b,,0.146,
Kepler-764 b,,0.146,
Kepler-441 b,,0.146,
Kepler-1206 b,,0.146,
Kepler-1281 b,,0.146,
Kepler-1428 b,,0.146,
Kepler-394 b,,0.14581,
Kepler-49 d,,0.14581,
Kepler-21 b,,0.1456,
Kepler-1400 b,,0.145,
Kepler-1207 b,,0.145,
Kepler-633 b,,0.145,
Kepler-744 b,,0.145,
Kepler-1599 b,,0.145,
Kepler-992 b,,0.145,
Kepler-750 c,,0.145,
Kepler-1269 b,,0.145,
Kepler-1079 b,,0.145,
Kepler-866 b,,0.145,
Kepler-658 b,,0.145,
Kepler-370 b,,0.1449,
Kepler-256 b,,0.1449,
Kepler-200 c,,0.1449,
Kepler-55 d,,0.1449,
Kepler-55 f,,0.1449,
Kepler-382 c,,0.1449,
Kepler-1584 b,,0.144,
Kepler-1048 b,,0.144,
Kepler-1620 b,,0.144,
Kepler-1322 b,,0.144,
Kepler-296 b,,0.144,
EPIC 203826436 b,,0.144,
Kepler-1555 b,,0.144,
Kepler-1448 b,,0.144,
Kepler-1610 b,,0.144,
Kepler-126 c,,0.14399,
Kepler-386 c,,0.14399,
Kepler-111 b,,0.14399,
Kepler-445 b,,0.143986,
HD 219134 b,0.012,0.1433,
Kepler-236 b,,0.14307,
Kepler-356 b,,0.14307,
Kepler-249 d,,0.14307,
Kepler-220 c,,0.14307,
Kepler-207 b,,0.14307,
Kepler-1069 b,,0.143,
Kepler-1065 c,,0.143,
Kepler-1050 b,,0.143,
Kepler-994 b,,0.143,
Kepler-842 b,,0.143,
Kepler-1277 b,,0.143,
HD 3167 b,,0.1423,
Kepler-107 b,,0.14216,
Kepler-190 b,,0.14216,
Kepler-309 b,,0.14216,
Kepler-49 e,,0.14216,
Kepler-402 c,,0.14216,
EPIC 206011691 b,,0.142,
Kepler-504 b,,0.142,
Kepler-1174 b,,0.142,
Kepler-928 b,,0.142,
Kepler-1131 b,,0.142,
Kepler-57 c,0.007759,0.141252,
Kepler-226 b,,0.14125,
Kepler-55 e,,0.14125,
Kepler-255 b,,0.14125,
Kepler-364 b,,0.14125,
Kepler-195 c,,0.14125,
Kepler-132 d,,0.14125,
Kepler-784 b,,0.141,
Kepler-1346 b,,0.141,
Kepler-1523 b,,0.141,
Kepler-1072 b,,0.141,
Kepler-1633 b,,0.141,
Kepler-160 b,,0.14034,
Kepler-274 b,,0.14034,
Kepler-337 b,,0.14034,
Kepler-974 b,,0.14,
Kepler-1181 b,,0.14,
Kepler-542 b,,0.14,
Kepler-823 b,,0.14,
Kepler-54 d,,0.13943,
Kepler-120 c,,0.13943,
Kepler-147 b,,0.13943,
Kepler-228 b,,0.13943,
Kepler-1317 b,,0.139,
Kepler-1426 b,,0.139,
Kepler-1501 b,,0.139,
Kepler-1433 b,,0.139,
Kepler-338 e,0.027,0.139,
Kepler-306 b,,0.13852,
Kepler-326 b,,0.13852,
Kepler-126 b,,0.13852,
Kepler-348 b,,0.13852,
Kepler-1466 b,,0.138,
Kepler-1340 b,,0.138,
Kepler-1165 b,,0.138,
Kepler-1295 b,,0.138,
Kepler-1282 b,,0.138,
Kepler-1064 b,,0.138,
Kepler-1254 b,,0.138,
EPIC 204221263 b,0.0378,0.138,
Kepler-36 b,0.01346359,0.13778,978.8
Kepler-389 b,,0.13761,
Kepler-205 b,,0.13761,
Kepler-249 c,,0.13761,
Kepler-194 b,,0.13761,
Kepler-1287 b,,0.137,
Kepler-895 b,,0.137,
Kepler-1006 b,,0.137,
Kepler-1592 b,,0.137,
Kepler-1228 b,,0.137,
Kepler-114 c,,0.1367,
Kepler-246 c,,0.1367,
Kepler-273 b,,0.1367,
Kepler-180 b,,0.1367,
Kepler-207 c,,0.1367,
Kepler-446 b,,0.136695,
Kepler-1289 b,,0.136,
Kepler-1483 b,,0.136,
Kepler-198 d,,0.136,
Kepler-1257 b,,0.136,
Kepler-1571 b,,0.136,
Kepler-1557 b,,0.136,
Kepler-990 c,,0.136,
Kepler-1586 b,,0.136,
Kepler-296 e,,0.136,
Kepler-825 b,,0.136,
Kepler-758 e,,0.136,
Kepler-886 b,,0.136,
Kepler-1356 b,,0.136,
Kepler-1323 b,,0.136,
Kepler-1220 b,,0.136,
Kepler-400 c,,0.13578,
Kepler-174 c,,0.13578,
EPIC 201367065 d,,0.135,
Kepler-828 b,,0.135,
Kepler-1209 b,,0.135,
Kepler-1324 b,,0.135,
Kepler-1194 b,,0.135,
Kepler-1491 b,,0.135,
Kepler-1191 b,,0.135,
Kepler-97 b,0.011041,0.134873,
Kepler-99 b,0.019346,0.134873,
Kepler-208 e,,0.13487,
Kepler-218 b,,0.13487,
Kepler-123 c,,0.13487,
Kepler-65 d,,0.1344,
Kepler-154 e,,0.134,
Kepler-154 f,,0.134,
Kepler-598 b,,0.134,
Kepler-915 b,,0.134,
Kepler-1005 b,,0.134,
Kepler-10 b,0.010475,0.133962,2169
Kepler-292 c,,0.13396,
Kepler-137 b,,0.13396,
Kepler-389 c,,0.13305,
Kepler-366 b,,0.13305,
Kepler-168 b,,0.13305,
Kepler-355 b,,0.13305,
Kepler-190 c,,0.13305,
Kepler-402 e,,0.13305,
Kepler-1256 b,,0.133,
Kepler-898 b,,0.133,
Kepler-1614 b,,0.133,
Kepler-1492 b,,0.133,
Kepler-1063 b,,0.133,
Kepler-1582 b,,0.133,
Kepler-362 c,,0.13214,
Kepler-361 b,,0.13214,
Kepler-375 b,,0.13214,
Kepler-280 b,,0.13214,
Kepler-167 b,,0.13214,
Kepler-1050 c,,0.132,
Kepler-975 b,,0.132,
Kepler-760 c,,0.132,
Kepler-1275 b,,0.132,
Kepler-1271 b,,0.132,
Kepler-93 b,0.0126,0.1319,
Kepler-203 d,,0.13123,
Kepler-909 b,,0.131,
Kepler-1198 b,,0.131,
Kepler-777 b,,0.131,
Kepler-1485 b,,0.131,
Kepler-1622 b,,0.131,
Kepler-1431 b,,0.131,
Kepler-1564 b,,0.131,
KOI-1860.04,,0.131,
Kepler-1142 b,,0.131,
Kepler-323 b,,0.13032,
Kepler-311 c,,0.13032,
Kepler-272 b,,0.13032,
Kepler-334 c,,0.13032,
Kepler-399 c,,0.13032,
Kepler-176 b,,0.13032,
Kepler-406 b,0.019975,0.130316,
Kepler-515 b,,0.13,
Kepler-808 b,,0.13,
Kepler-1039 b,,0.13,
Kepler-1355 b,,0.13,
Kepler-1528 b,,0.13,
EPIC 220674823 b,,0.13,
Kepler-1108 b,,0.13,
Kepler-1439 b,,0.13,
Kepler-1019 b,,0.13,
Kepler-157 d,,0.13,
Kepler-1091 b,,0.13,
Kepler-339 b,,0.12941,
Kepler-1335 b,,0.129,
Kepler-936 b,,0.129,
Kepler-1226 b,,0.129,
Kepler-176 e,,0.129,
Kepler-62 f,,0.12849371,208
Kepler-187 b,,0.12849,
Kepler-141 c,,0.12849,
Kepler-237 b,,0.12849,
Kepler-334 d,,0.12849,
Kepler-164 b,,0.12849,
Kepler-369 c,,0.12849,
Kepler-1380 b,,0.128,
Kepler-1310 b,,0.128,
Kepler-1302 b,,0.128,
Kepler-1007 b,,0.128,
Kepler-1259 b,,0.128,
Kepler-1218 b,,0.128,
Kepler-605 b,,0.128,
Kepler-1149 b,,0.128,
Kepler-876 b,,0.128,
Kepler-1366 b,,0.128,
Kepler-1245 b,,0.128,
Kepler-1245 c,,0.128,
Kepler-773 b,,0.128,
Kepler-186 d,,0.127582,
Kepler-326 c,,0.12758,
Kepler-127 b,,0.12758,
Kepler-329 b,,0.12758,
Kepler-403 d,,0.127,
Kepler-1274 b,,0.127,
Kepler-1075 b,,0.127,
Kepler-1088 b,,0.127,
Kepler-1290 b,,0.127,
Kepler-1303 b,,0.127,
Kepler-922 b,,0.127,
Kepler-1231 b,,0.127,
Kepler-208 c,,0.12667,
Kepler-377 b,,0.12667,
Kepler-224 b,,0.12667,
Kepler-386 b,,0.12667,
Kepler-1383 b,,0.126,
Kepler-905 b,,0.126,
Kepler-537 b,,0.126,
Kepler-1604 b,,0.126,
Kepler-1205 b,,0.126,
Kepler-1493 b,,0.126,
Kepler-1471 b,,0.126,
Kepler-353 c,,0.12576,
Kepler-402 d,,0.12576,
Kepler-84 d,,0.12576,
Kepler-65 b,,0.1257,
Kepler-1145 b,,0.125,
Kepler-770 d,,0.125,
Kepler-1229 b,,0.125,
Kepler-1301 b,,0.125,
Kepler-240 b,,0.12485,
Kepler-286 c,,0.12485,
Kepler-320 c,,0.12485,
Kepler-167 c,,0.12485,
Kepler-1394 b,,0.124,
Kepler-1216 b,,0.124,
Kepler-295 d,,0.12394,
Kepler-262 b,,0.12394,
Kepler-372 b,,0.12394,
Kepler-373 b,,0.12394,
Kepler-301 b,,0.12303,
Kepler-301 c,,0.12303,
Kepler-144 c,,0.12303,
Kepler-330 b,,0.12303,
Kepler-446 d,,0.123026,
Kepler-629 b,,0.123,
Kepler-923 b,,0.123,
Kepler-1315 b,,0.123,
Kepler-1120 b,,0.123,
Kepler-914 b,,0.123,
Kepler-285 b,,0.12211,
Kepler-191 b,,0.12211,
Kepler-901 b,,0.122,
Kepler-1332 b,,0.122,
Kepler-932 b,,0.122,
Kepler-1437 b,,0.122,
Kepler-1300 b,,0.122,
Kepler-793 b,,0.122,
KOI-5800.01,,0.1213,
Kepler-393 c,,0.1212,
Kepler-286 d,,0.1212,
Kepler-251 b,,0.1212,
Kepler-144 b,,0.1212,
Kepler-348 c,,0.1212,
Kepler-220 e,,0.1212,
Kepler-997 b,,0.121,
Kepler-1246 b,,0.121,
Kepler-757 b,,0.121,
Kepler-1459 b,,0.121,
Kepler-100 b,0.0231,0.120292,
Kepler-395 c,,0.12029,
Kepler-292 b,,0.12029,
Kepler-299 b,,0.12029,
Kepler-382 b,,0.12029,
Kepler-157 b,,0.12029,
Kepler-383 b,,0.12029,
Kepler-333 b,,0.12029,
Kepler-1319 b,,0.12,
Kepler-1114 b,,0.12,
Kepler-1244 b,,0.12,
Kepler-1532 b,,0.12,
Kepler-1602 b,,0.12,
Kepler-442 b,,0.12,
Kepler-1107 b,,0.12,
EPIC 211970147 b,,0.12,
Kepler-1265 b,,0.12,
Kepler-1631 b,,0.12,
Kepler-935 b,,0.12,
Kepler-90 b,,0.119381,
Kepler-62 b,,0.1193806,750
Kepler-374 d,,0.11938,
Kepler-354 c,,0.11938,
Kepler-1028 b,,0.119,
Kepler-1508 b,,0.119,
Kepler-1190 b,,0.119,
Kepler-707 b,,0.119,
Kepler-1587 b,,0.119,
Kepler-1498 b,,0.119,
Kepler-931 b,,0.119,
Kepler-1224 b,,0.119,
Kepler-1253 b,,0.119,
Kepler-1185 b,,0.119,
Kepler-367 b,,0.11847,
Kepler-603 d,,0.118,
Kepler-217 d,,0.118,
Kepler-1156 b,,0.118,
Kepler-617 b,,0.118,
Kepler-255 d,,0.118,
Kepler-1506 b,,0.118,
Kepler-1179 b,,0.118,
Kepler-1193 b,,0.118,
EPIC 201713348 b,,0.118,
Kepler-211 c,,0.11756,
Kepler-173 b,,0.11756,
Kepler-393 b,,0.11756,
Kepler-312 b,,0.11756,
Kepler-1575 b,,0.117,
Kepler-821 b,,0.117,
Kepler-1623 b,,0.117,
Kepler-1436 b,,0.117,
Kepler-1441 b,,0.117,
Kepler-1298 b,,0.117,
Kepler-1254 d,,0.117,
Kepler-235 c,,0.11665,
Kepler-132 c,,0.11665,
Kepler-1098 b,,0.116,
Kepler-796 b,,0.116,
Kepler-1379 b,,0.116,
Kepler-507 b,,0.116,
Kepler-1568 b,,0.116,
Kepler-1254 c,,0.116,
Kepler-404 b,,0.11574,
Kepler-85 e,,0.11574,
Kepler-380 c,,0.11574,
Kepler-181 b,,0.11574,
Kepler-186 e,,0.115735,
Kepler-1415 b,,0.115,
Kepler-1429 b,,0.115,
Kepler-1574 b,,0.115,
Kepler-1603 b,,0.115,
Kepler-1012 b,,0.115,
Kepler-211 b,,0.11482,
Kepler-114 b,,0.11482,
Kepler-134 c,,0.11482,
Kepler-162 b,,0.11482,
KOI-1843.01,,0.114,
Kepler-1037 b,,0.114,
Kepler-776 b,,0.114,
Kepler-1124 b,,0.114,
Kepler-1357 b,,0.114,
Kepler-1008 b,,0.114,
Kepler-1420 b,,0.114,
Kepler-787 b,,0.114,
Kepler-445 d,,0.113913,
Kepler-150 b,,0.11391,
Kepler-403 b,,0.11391,
Kepler-169 d,,0.11391,
Kepler-1370 c,,0.113,
Kepler-352 c,,0.113,
Kepler-1372 b,,0.113,
Kepler-286 b,,0.113,
Kepler-732 c,,0.113,
Kepler-831 b,,0.113,
Kepler-354 d,,0.113,
Kepler-383 c,,0.113,
Kepler-1591 b,,0.113,
Kepler-373 c,,0.113,
Kepler-252 b,,0.11209,
Kepler-197 c,,0.11209,
Kepler-101 c,,0.112,
Kepler-1618 b,,0.112,
Kepler-1074 b,,0.112,
Kepler-1029 b,,0.112,
Kepler-1440 b,,0.112,
Kepler-1197 b,,0.112,
Kepler-826 b,,0.112,
Kepler-755 c,,0.112,
Kepler-1377 b,,0.112,
Kepler-1399 b,,0.112,
Kepler-1363 b,,0.112,
Kepler-466 c,,0.112,
Kepler-295 b,,0.11118,
Kepler-226 d,,0.11118,
Kepler-197 d,,0.11118,
Kepler-402 b,,0.11118,
Kepler-1311 b,,0.111,
Kepler-1096 b,,0.111,
Kepler-1386 b,,0.111,
KOI-314 c,0.002013,0.11045,376
Kepler-189 b,,0.11027,
Kepler-326 d,,0.11027,
Kepler-169 c,,0.11027,
Kepler-81 d,,0.11027,
Kepler-132 b,,0.11027,
Kepler-1104 b,,0.11,
Kepler-1481 b,,0.11,
Kepler-1595 b,,0.11,
Kepler-1055 b,,0.11,
Kepler-80 f,,0.11,
Kepler-1146 b,,0.11,
Kepler-884 b,,0.11,
Kepler-882 b,,0.11,
Kepler-1414 b,,0.11,
Kepler-1646 b,,0.11,
Kepler-225 b,,0.10936,
Kepler-208 d,,0.10936,
Kepler-85 d,,0.10936,
Kepler-282 c,,0.10936,
Kepler-367 c,,0.10936,
Kepler-345 c,,0.10936,
Kepler-206 b,,0.10936,
KIC 8435766 b,0.005882,0.109356,
KOI-314 b,0.006197,0.109083,446
Kepler-1215 b,,0.109,
Kepler-908 b,,0.109,
Kepler-1223 b,,0.109,
Kepler-763 b,,0.109,
Kepler-1311 c,,0.109,
Kepler-380 b,,0.10845,
Kepler-310 b,,0.10845,
Kepler-206 d,,0.10845,
Kepler-409 b,,0.108445,
Kepler-90 c,,0.108445,
Kepler-1095 b,,0.108,
KOI-1194 b,,0.108,
Kepler-1284 b,,0.108,
Kepler-743 b,,0.108,
Kepler-102 d,0.011954,0.107534,
Kepler-332 d,,0.10753,
Kepler-341 b,,0.10753,
Kepler-1573 b,,0.107,
Kepler-1617 b,,0.107,
Kepler-304 e,,0.107,
Kepler-770 c,,0.107,
Kepler-907 b,,0.107,
Kepler-1500 b,,0.107,
Kepler-295 c,,0.10662,
Kepler-185 b,,0.10662,
Kepler-332 b,,0.10662,
Kepler-339 d,,0.10662,
Kepler-1565 b,,0.106,
Kepler-1276 b,,0.106,
Kepler-775 b,,0.106,
Kepler-953 c,,0.106,
Kepler-1213 b,,0.106,
Kepler-1499 b,,0.106,
Kepler-953 c,,0.106,
Kepler-1139 b,,0.106,
Kepler-1473 b,,0.106,
GJ 1132 b,0.005096,0.105711,
Kepler-316 c,,0.10571,
Kepler-135 c,,0.10571,
Kepler-363 b,,0.10571,
Kepler-1390 b,,0.105,
Kepler-847 b,,0.105,
Kepler-1248 b,,0.105,
Kepler-1430 b,,0.105,
Kepler-1477 b,,0.105,
Kepler-1512 b,,0.105,
Kepler-1537 b,,0.105,
Kepler-132 e,,0.105,
Kepler-1264 b,,0.105,
Kepler-339 c,,0.1048,
Kepler-647 b,,0.104,
Kepler-1035 b,,0.104,
Kepler-303 c,,0.10389,
Kepler-320 b,,0.10389,
Kepler-324 b,,0.10389,
Kepler-1468 c,,0.103,
Kepler-1240 b,,0.103,
Kepler-1424 b,,0.103,
Kepler-1541 b,,0.103,
Kepler-1373 b,,0.103,
Kepler-1553 b,,0.103,
Kepler-1199 b,,0.103,
Kepler-128 b,0.00409,0.10298,
Kepler-128 c,0.00472,0.10298,
Kepler-384 c,,0.10298,
Kepler-169 b,,0.10298,
