PlanetIdentifier,PlanetaryMassJpt,RadiusJpt,SurfaceTempK
HATS-5 b,0.237,0.912,1025
HIP 41378 f,,0.91,
EPIC 220504338,1.28,0.91,
Kepler-693 b,,0.908,
Kepler-643 b,,0.906,
PH-2 b,,0.9,281
CoRoT-29 b,0.85,0.9,
Kepler-424 b,1.03,0.89,1143
WASP-130 b,1.23,0.89,
Lupus-TR 3b,0.81,0.89,
CoRoT-13 b,1.308,0.885,1166.5
KOI-372 b,3.25,0.882,
Kepler-56 c,0.569,0.874,
HATS-8 b,0.138,0.873,1324
Kepler-688 b,,0.871,
Kepler-1517 b,,0.871,
KIC 8012732 b,,0.87,
WASP-132 b,0.41,0.87,
HAT-P-20 b,7.246,0.867,888.3
Kepler-51 d,0.0239,0.865,
Kepler-714 b,,0.863,
WASP-60 b,0.514,0.86,
Kepler-492 b,,0.856,
Kepler-1515 b,,0.852,
Kepler-9 b,0.25,0.84,707.2
CoRoT-20 b,4.24,0.84,1002
Saturn,0.299,0.832944,
Kepler-856 b,,0.83,
HAT-P-3 b,0.591,0.827,1047.2
HAT-P-38 b,0.267,0.825,987
Kepler-695 b,,0.822,
Kepler-730 b,,0.822,
Kepler-9 c,0.17,0.82,557.9
KOI-201.01,,0.82,
Kepler-702 b,,0.818,
EPIC 218916923 b,0.381,0.812,
SWEEPS-4,,0.81,
Kepler-817 b,,0.806,
Kepler-51 c,0.0126,0.803,
KOI-806.01,0.072666,0.801947,334.2
Kepler-950 b,,0.801,
WASP-139 b,0.117,0.8,
Kepler-491 b,,0.796,
Kepler-890 b,,0.793,
WASP-29 b,0.244,0.792,910.6
Kepler-108 b,,0.78828,
HATS-17 b,1.338,0.777,
HATS-20 b,0.273,0.776,
WASP-59 b,0.863,0.775,
Kepler-148 d,,0.774,
Kepler-34 (AB) b,0.22,0.764,
Kepler-719 b,,0.76,
Kepler-1513 b,,0.755,
Kepler-16 (AB) b,0.333,0.7538,
Kepler-238 e,,0.75274,
Kepler-720 b,,0.75,
Kepler-628 b,,0.749,
Kepler-539 b,,0.747,
Kepler-108 c,,0.74545,
Kepler-855 b,,0.745,
Kepler-703 b,,0.732,
K2-39 b,0.125,0.73,
Kepler-35 (AB) b,0.127,0.728,
EPIC 203771098 c,0.085,0.723,
KIC 6185331 b,,0.72,
Kepler-90 g,,0.72,
Kepler-117 b,0.094,0.719,984
HD 149026 b,0.356,0.718,1601.5
HR 8799 b,5,0.7,1100
Kepler-118 c,,0.69988,
EPIC 201596316 b,,0.695,734
Kepler-79 d,,0.69168,
EPIC 201505350 b,0.138,0.691,
Kepler-489 b,,0.689,
K2-60 b,0.426,0.683,
Kepler-952 b,,0.682,
EPIC 201702477 b,,0.67,529
Kepler-111 c,,0.66525,
KOI-1894.01,0.18,0.66,
Kepler-297 c,0.13,0.66,
Kepler-682 b,,0.658,
Kepler-46 b,,0.65705,543
KOI-523.01,0.01982,0.64703,
Kepler-1085 b,,0.644,
Kepler-849 b,,0.637,
Kepler-494 b,,0.637,
Kepler-51 b,0.0066,0.633,
WASP-86 b,0.821,0.632,
Kepler-1519 b,,0.63,
Kepler-546 b,,0.624,
Kepler-561 b,,0.621,
Kepler-18 d,0.052,0.62,729.8
KIC 3558849 b,,0.616,
Kepler-522 b,,0.616,
Kepler-799 b,,0.614,
Kepler-857 b,,0.607,
Kepler-89 e,0.11009952,0.59781473,584
Kepler-767 b,,0.592,
KIC 5951458 b,,0.589,
Kepler-673 b,,0.583,
Kepler-56 b,0.0695,0.581,
Kepler-603 c,,0.58,
Kepler-31 b,,0.57868,
Kepler-1628 b,,0.574,
Kepler-891 b,,0.572,
KIC 5437945 b,,0.571,
CoRoT-8 b,0.22,0.57,783.1
Kepler-511 b,,0.567,
HAT-P-26 b,0.059,0.565,907.4
Kepler-397 c,,0.56319,
PH-1 A(ab) b,,0.5631852,
HATS-7 b,0.12,0.563,
KIC 9632895 b,0.019503,0.561818,
Kepler-1004 b,,0.56,
Kepler-87 c,0.020132,0.55954,403.3
Kepler-503 b,,0.559,
Kepler-63 b,,0.556806,
Kepler-450 b,,0.548,
Kepler-696 b,,0.548,
KOI-3791.02,,0.5442,
Kepler-820 b,,0.543,
Kepler-1625 b,,0.541,
Kepler-497 b,,0.539,
Kepler-122 c,,0.53493,
Kepler-700 b,,0.534,
Kepler-690 b,,0.531,
Kepler-943 b,,0.529,
EPIC 203771098 b,0.066,0.52,
Kepler-101 b,0.161,0.515,
Kepler-1520 b,,0.515,
Kepler-31 c,,0.51489,
Kepler-82 c,,0.51397,
Kepler-516 b,,0.512,
Kepler-1624 b,,0.509,
Kepler-827 b,,0.502,
Kepler-951 b,,0.499,
Kepler-257 c,,0.49301,
KOI-1873.01,0.10286,0.4921,
