,PlanetIdentifier,SystemName,x,y,z,DistFromSunParsec
694,HD 134060 c,HD 134060,-7.792733310719294,-8.560340530204773,-21.251679405518505,24.2
693,HD 134060 b,HD 134060,-7.792733310719294,-8.560340530204773,-21.251679405518505,24.2
2063,HD 156668 b,HD 156668,-3.926943493825786,-21.017193212216053,11.96272144107179,24.5
448,PSO J318.5-22,PSO J318.5-,16.98594126733548,-15.010286197860271,9.556626367131607,24.6
1505,2M 2140+16 b,2M 2140+16,19.672371186937973,-13.71301460038739,7.067605142684104,25.0
924,BD+20 1790 b,BD+20 1790,-8.504214877493938,22.233530229609734,8.860500146517738,25.4
372,HD 16417 b,HD 16417,16.259752711428874,13.28278491468562,-14.47197521672082,25.5
2024,HD 96700 c,HD 96700,-21.561778323728408,4.9878535841732194,-12.867440776675299,25.6
2023,HD 96700 b,HD 96700,-21.561778323728408,4.9878535841732194,-12.867440776675299,25.6
1576,HD 60532 b,HD 60532,-9.486431740188737,21.80429154504905,-9.750409378956457,25.7
1577,HD 60532 c,HD 60532,-9.486431740188737,21.80429154504905,-9.750409378956457,25.7
1877,HD 39194 c,HD 39194,0.5932472656554434,8.777265305359386,-24.360165669410513,25.9
1878,HD 39194 d,HD 39194,0.5932472656554434,8.777265305359386,-24.360165669410513,25.9
1876,HD 39194 b,HD 39194,0.5932472656554434,8.777265305359386,-24.360165669410513,25.9
1821,HIP 57274 d,HIP 57274,-22.177664010729643,1.484389272204381,13.33394943427309,25.92
1819,HIP 57274 b,HIP 57274,-22.177664010729643,1.484389272204381,13.33394943427309,25.92
1820,HIP 57274 c,HIP 57274,-22.177664010729643,1.484389272204381,13.33394943427309,25.92
1186,HD 128356 b,HD 128356,-18.142585277818906,-14.83387382104449,-11.32976994022384,26.03
1328,HD 181433 c,HD 181433,3.7910388562223236,-9.727695449855844,-23.97545548317,26.15
1329,HD 181433 d,HD 181433,3.7910388562223236,-9.727695449855844,-23.97545548317,26.15
1327,HD 181433 b,HD 181433,3.7910388562223236,-9.727695449855844,-23.97545548317,26.15
1811,HD 30562 b,HD 30562,8.08315120148784,25.100753510092844,-2.620083945114623,26.5
1703,HD 134606 c,HD 134606,-5.819575331631672,-6.650572024877891,-24.983042943192004,26.5
1704,HD 134606 d,HD 134606,-5.819575331631672,-6.650572024877891,-24.983042943192004,26.5
1702,HD 134606 b,HD 134606,-5.819575331631672,-6.650572024877891,-24.983042943192004,26.5
1625,HD 216437 b,HD 216437,8.666851595591401,-2.5405277062396077,-24.91347832788155,26.5
819,2M 2206-20 b,2M 2206-20,21.932370861179876,-11.861265716024205,-9.464163144279423,26.67
880,HD 179949 b,HD 179949,7.973402937916868,-23.305023199701097,-11.058966463960918,27.0
2034,HD 20367 b,HD 20367,15.036019622310992,17.553139649464924,13.957270591482466,27.0
429,HD 204941 b,HD 204941,20.163118280760873,-15.138906235044722,-9.657234552529559,27.0
1097,HD 150706 b,HD 150706,-1.8201395385191497,-4.464753180309769,26.769256080422426,27.2
1978,BD-11 4672 b,BD-11 4672,3.892309503667914,-26.454133555669806,-5.506245957677643,27.3
628,HD 125595 b,HD 125595,-17.02154629038252,-12.072373669025628,-17.756259625264036,27.4
1490,HD 82943 c,HD 82943,-21.6390314108633,15.890623197842555,-5.7699232216607035,27.46
1489,HD 82943 b,HD 82943,-21.6390314108633,15.890623197842555,-5.7699232216607035,27.46
1110,HD 114386 c,HD 114386,-21.871626280724602,-6.964345752323454,-16.105013259181472,28.04
1109,HD 114386 b,HD 114386,-21.871626280724602,-6.964345752323454,-16.105013259181472,28.04
2036,HD 52265 b,HD 52265,-7.276293660219933,27.01402546194329,-2.6283034283968933,28.1
747,HD 218566 b,HD 218566,27.82925201412926,-6.274302140510905,-1.126217112133668,28.55
450,HD 13808 c,HD 13808,14.156332445401977,9.256284435572375,-23.06251179171601,28.6
449,HD 13808 b,HD 13808,14.156332445401977,9.256284435572375,-23.06251179171601,28.6
1105,HD 70642 b,HD 70642,-12.82462477517044,18.06826506541992,-18.39855420683405,28.8
1465,HD 93083 b,HD 93083,-22.77743689317751,7.805868731177102,-15.983328249427515,28.9
27,HD 164595 b,HD 164595,0.07115713368817765,-25.16138734050817,14.277409560674535,28.93
58,HD 75289 A b,HD 75289 A,-14.426768259157638,16.069504714242647,-19.265590461636393,28.94
511,HD 102195 b,HD 102195,-28.888544660077265,1.8048727946878798,1.4264717374406537,28.98
159,HD 219077 b,HD 219077,13.035166832819053,-2.645126210689689,-25.769899746993516,29.0
916,HD 111232 b,HD 111232,-10.422521978834423,-2.2558027865442583,-26.96817363836366,29.0
2069,51 Eri b,51 Eri,10.334253284322795,27.494603636696038,-1.2688498399907004,29.4
1183,HD 150433 b,HD 150433,-9.973713922628692,-27.829983683436517,-1.4754791659728703,29.6
1500,HD 130322 b,HD 130322,-22.333455161568214,-20.029854546515388,-0.14733428541553031,30.0
436,HD 101930 b,HD 101930,-16.112381582621985,1.162022223437381,-25.85886625682227,30.49
1135,kappa CrB b,kappa CrB,-13.2026807389011,-20.97202521564919,17.779577600742503,30.5
1376,Gliese 3470 b,Gliese 3470,-14.698679349925325,25.69133230311241,8.148267905458894,30.7
474,HD 89307 b,HD 89307,-27.235782290505238,12.93979081322112,6.751590681778591,30.9
886,HD 50554 b,HD 50554,-6.688845336125699,27.49092943502794,12.74241134431407,31.03
558,HD 162020 b,HD 162020,-0.9738521442648711,-23.81463770898683,-20.226276048517025,31.26
461,iota Draconis b,iota Draconis,-10.169483113698625,-12.661462757039697,26.99109064214144,31.5
613,HD 22781 b,HD 22781,15.411971690773143,22.18177710676727,16.76436676371949,31.79
1764,HD 157172 b,HD 157172,-4.8840162931075595,-29.649048920012454,-10.709354928629839,31.9
1913,HD 197037 b,HD 197037,15.332738359958524,-18.346003665946817,21.716843322042045,32.3
1278,HD 21693 b,HD 21693,10.521552966543657,13.370505012785832,-27.573293580479017,32.4
1279,HD 21693 c,HD 21693,10.521552966543657,13.370505012785832,-27.573293580479017,32.4
1929,HD 10697 b,HD 10697,27.43148752997445,13.515292949397923,11.180516463241364,32.56
1039,HD 81040 b,HD 81040,-23.704150924856616,19.23239755481573,11.330565441545145,32.56
1692,HD 63765 b,HD 63765,-8.631628388785467,16.97104799640532,-26.462020354871242,32.6
486,HD 45364 c,HD 45364,-3.103039307963464,27.62805334925959,-17.02415387570553,32.6
485,HD 45364 b,HD 45364,-3.103039307963464,27.62805334925959,-17.02415387570553,32.6
846,HD 92788 b,HD 92788,-30.953048468678755,10.839622821869716,-1.2505069272999585,32.82
707,HD 37124 d,HD 37124,3.0876813818745013,30.708588480899618,11.681130818323407,33.0
1740,HD 117207 b,HD 117207,-24.827903183365994,-10.201646348172924,-19.19639641454132,33.0
705,HD 37124 b,HD 37124,3.0876813818745013,30.708588480899618,11.681130818323407,33.0
706,HD 37124 c,HD 37124,3.0876813818745013,30.708588480899618,11.681130818323407,33.0
1880,HD 196885 A b,HD 196885 A,20.788202118217495,-24.80740008338043,6.437666797468963,33.0
333,HD 216435 b,HD 216435,21.10514510557021,-6.290055735838784,-24.9779512553145,33.3
1966,HD 40979 A b,HD 40979 A,-0.4664957315619698,23.84412324251387,23.2407006892702,33.3
392,HD 46375 A b,HD 46375 A,-4.799594507076073,32.9000566046537,3.179649033812911,33.4
1227,HD 141937 b,HD 141937,-16.787823218122263,-26.940175598384247,-10.581471085123157,33.46
1509,HD 4208 b,HD 4208,29.76584767285077,5.8443138206034995,-15.13434201684854,33.9
699,HD 85390 b,HD 85390,-18.492348454306953,11.777145006541465,-25.934793312062208,33.96
337,HD 11964 A b,HD 11964 A,29.164279912161707,16.35786124119909,-6.041982523870583,33.98
